,index,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
10,39,Mesa,60685.4,45636.9,2505.8,9902.7,19.2,38.8,1618.2,316.3,479.5,168.6,8.0,77.0,2019.0,150744.0,8077.0,31.467,12.149,39.019492,-108.461837,67.4487179487179,42.4871794871795,54.6083333333333,41.6775641025641,2.69788461538462,18.2589743589744,287.09358974359,18.0179487179487,7.10897435897436
11,7,Broomfield,27058.6,19704.4,447.0,6538.0,0.0,0.0,55.1,67.2,179.4,67.5,8.0,14.0,2019.0,66933.25,8014.0,1.466,0.566,39.953383,-105.052125,65.8782051282051,40.2762820512821,52.743589743589695,47.248717948718,5.18160256410256,24.4570512820513,170.991666666667,14.4961538461538,6.57692307692308
12,23,Garfield,21416.9,14186.5,1508.1,4452.9,12.8,45.3,888.2,77.3,196.9,49.3,8.0,45.0,2019.0,58785.75,8045.0,21.431,8.274,39.599352,-107.90978,64.3121794871795,35.7179487179487,49.45769230769231,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949
13,33,La Plata,21626.6,10597.1,4994.3,3531.4,21.5,99.1,1931.4,202.1,186.1,63.6,8.0,67.0,2019.0,55331.25,8067.0,19.76,7.629,37.287367,-107.839718,64.0166666666667,34.4025641025641,49.0865384615385,49.7955128205128,3.9798717948717903,20.7980769230769,227.535897435897,17.9653846153846,7.62179487179487
14,19,Eagle,18244.6,11378.9,751.9,5465.7,2.8,2.6,382.4,69.5,177.4,14.6,8.0,37.0,2019.0,54431.0,8037.0,18.806,7.261,39.630638,-106.692944,58.2012820512821,31.2275641025641,44.175,51.8570512820513,7.18512820512821,31.7358974358974,246.467307692308,16.2576923076923,6.96153846153846
15,22,Fremont,17229.2,11693.9,2184.9,1846.2,25.3,10.2,1294.1,30.9,96.7,49.0,8.0,43.0,2019.0,47162.25,8043.0,2.235,0.863,38.455658,-105.421438,63.5230769230769,39.1192307692308,50.8108974358974,43.9269230769231,7.07820512820513,36.2423076923077,295.796794871795,18.0602564102564,7.49358974358974
16,43,Montrose,17255.3,10629.6,2030.6,2617.5,45.9,53.0,1570.1,51.5,165.7,91.4,8.0,85.0,2019.0,41535.5,8085.0,4.923,1.901,38.413427,-108.263042,64.5589743589744,39.1012820512821,51.425,45.6301282051282,5.0748717948718,21.5474358974359,262.183974358974,17.7698717948718,7.55128205128205
17,15,Delta,12064.0,6106.2,1866.6,2375.0,16.3,112.7,1255.0,93.4,189.6,49.2,8.0,29.0,2019.0,30471.5,8029.0,16.961,6.549,38.861756,-107.864757,67.6461538461538,40.2878205128205,53.5025641025641,43.3410256410256,4.46051282051282,19.7224358974359,267.908333333333,17.2602564102564,7.31410256410256
18,59,Summit,10722.8,5415.1,235.2,4616.6,33.2,0.0,324.8,29.7,36.1,32.1,8.0,117.0,2019.0,30383.75,8117.0,28.283,10.92,39.621023,-106.137555,42.7884615384615,29.1403846153846,35.5730769230769,50.0224358974359,9.74897435897436,42.2064102564103,220.18141025641,17.4544871794872,7.39102564102564
19,44,Morgan,10840.5,5421.1,1611.9,3450.3,16.8,0.0,223.6,37.2,72.6,9.2,8.0,87.0,2019.0,28378.5,8087.0,34.474,13.31,40.262354,-103.807092,65.8807692307692,36.3403846153846,50.5346153846154,52.1692307692308,3.4723717948718,22.375641025641,224.694871794872,17.2185897435897,6.94871794871795
20,42,Montezuma,10579.9,4025.5,3075.5,1621.4,54.6,58.8,1555.5,11.6,173.8,4.8,8.0,83.0,2019.0,25994.0,8083.0,27.517,10.624,37.338025,-108.595786,66.1519230769231,35.1833333333333,50.63653846153849,48.6583333333333,1.97660256410256,18.4275641025641,237.909615384615,16.6865384615385,7.30769230769231
21,21,Elbert,9006.2,3350.6,3900.7,939.9,6.6,0.0,550.2,12.3,187.2,59.5,8.0,39.0,2019.0,25415.5,8039.0,0.442,0.171,39.310817,-104.117928,62.8448717948718,34.5051282051282,48.1108974358974,49.526923076923104,5.55544871794872,23.6032051282051,289.399358974359,17.1576923076923,7.07692307692308
22,54,Routt,9779.1,4456.3,1493.3,2819.3,0.0,28.6,872.3,10.6,102.3,0.0,8.0,107.0,2019.0,24905.5,8107.0,15.826,6.11,40.48316,-106.985289,56.0891025641026,29.4358974358974,42.4865384615385,59.0621794871795,5.60891025641026,32.1294871794872,281.31217948718,18.373717948718,7.15384615384615
23,60,Teller,10302.6,5543.1,1950.3,1304.5,7.8,0.0,1338.1,35.4,78.4,48.1,8.0,119.0,2019.0,24346.75,8119.0,4.945,1.909,38.871994,-105.182552,63.2955128205128,38.13205128205129,50.3903846153846,45.0871794871795,6.65076923076923,37.4948717948718,268.969871794872,16.2820512820513,7.14102564102564
24,38,Logan,8290.0,4816.0,1170.0,2138.5,4.6,0.0,101.9,0.0,55.4,4.1,8.0,75.0,2019.0,22059.0,8075.0,16.364,6.318,40.728091,-103.090464,65.6339743589744,35.5910256410256,49.9333333333333,58.8724358974359,2.69762820512821,22.775641025641,234.026282051282,16.6134615384615,6.69230769230769
