,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County,Estimate!!Total:,Estimate!!Total:!!Utility gas,"Estimate!!Total:!!Bottled, tank, or LP gas",Estimate!!Total:!!Electricity,"Estimate!!Total:!!Fuel oil, kerosene, etc.",Estimate!!Total:!!Coal or coke,Estimate!!Total:!!Wood,Estimate!!Total:!!Solar energy,Estimate!!Total:!!Other fuel,Estimate!!Total:!!No fuel used,State,County Number,State.1,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
,Phillips,1689,1041,264,347,2,0,0,0,25,10,8,95,,8095,Holyoke,"4,442","1,781.73",687.928,0.302,0.117,"1,782.03",688.045,40.594712,-102.345105,68.35384615384620,39.351282051282100,52.93974358974360,56.822435897435900,2.5908333333333300,16.762820512820500,222.43653846153800,14.953846153846200,5.9423076923076900
,Archuleta,5858,2510,1736,591,0,4,862,55,81,19,8,7,,8007,Pagosa Springs,"12,084","3,496.94","1,350.18",13.828,5.339,"3,510.77","1,355.51",37.202395,-107.050863,59.49038461538460,32.628846153846200,45.60769230769230,54.28782051282050,6.196666666666670,27.409615384615400,218.16730769230800,17.63525641025640,7.038461538461540
,Denver,301501,202325,3435,88795,363,8,333,814,2826,2602,8,31,,8031,Denver,"600,158",396.269,153,4.225,1.631,400.494,154.631,39.761849,-104.880625,65.84807692307690,39.69935897435900,52.00064102564100,46.85769230769230,5.128076923076920,51.62948717948720,244.5923076923080,14.983333333333300,6.282051282051280
,Kiowa,638,402,134,67,0,0,15,0,17,3,8,61,,8061,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621,71.19102564102560,38.97179487179490,54.469230769230800,51.23141025641030,3.365448717948720,19.105128205128200,207.47820512820500,16.956410256410300,6.910256410256410
,Huerfano,3225,1223,1048,413,0,0,493,19,24,5,8,55,,8055,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.37692307692310,35.86538461538460,47.02884615384620,47.954487179487200,6.3037820512820500,22.92948717948720,261.19679487179500,16.14679487179490,7.288461538461540
,Baca,1662,1084,381,169,0,0,9,6,13,0,8,9,,8009,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.80897435897440,40.61217948717950,55.19230769230770,50.41538461538460,2.9646794871794900,18.840384615384600,295.0083333333330,17.812179487179500,7.262820512820510
,Gilpin,2802,1330,349,624,0,0,363,15,121,0,8,47,,8047,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.419871794871800,27.80448717948720,35.80384615384620,51.575000000000000,9.615705128205130,31.28653846153850,275.80384615384600,23.807692307692300,7.044871794871800
,Kit Carson,3004,2219,441,264,0,0,30,0,37,13,8,63,,8063,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.75961538461540,39.10320512820510,52.733333333333300,52.843589743589700,4.674038461538460,21.517307692307700,234.5596153846150,16.60192307692310,6.685897435897440
,Gunnison,6616,3004,755,1959,18,35,750,42,43,10,8,51,,8051,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.43782051282050,26.791025641025600,41.28525641025640,55.292307692307700,7.371794871794870,26.16602564102560,235.13076923076900,15.866666666666700,6.660256410256410
,Mineral,367,27,137,63,0,0,136,0,4,0,8,79,,8079,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.08974358974360,29.94423076923080,38.50064102564100,55.61730769230770,5.342051282051280,32.90384615384620,217.61217948717900,18.5724358974359,7.75
,Ouray,2163,967,588,289,0,0,285,21,8,5,8,91,,8091,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.00064102564100,36.74487179487180,46.43141025641030,45.47115384615390,5.582307692307690,31.28846153846150,267.9666666666670,16.15705128205130,7.262820512820510
,Sedgwick,967,532,209,208,0,0,5,0,11,2,8,115,,8115,Julesburg,"2,379","1,419.42",548.041,3.531,1.363,"1,422.95",549.404,40.871568,-102.355358,66.96923076923080,38.547435897435900,51.87371794871800,57.542307692307700,3.579038461538460,19.683974358974400,230.92756410256400,16.906410256410300,6.743589743589740
