,index,County,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,summed,Solar Energy Percentage
47,49,Pitkin,3903.6,479.1,2677.5,4.6,0.0,214.1,2.4,45.2,22.4,7348.9,0.032657948808665245
48,45,Otero,6127.6,406.0,870.6,0.0,0.0,237.1,0.6,36.6,30.0,7708.500000000002,0.007783615489394822
49,37,Lincoln,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,1512.3000000000002,0.0
50,56,San Juan,26.8,147.8,42.0,0.0,10.3,55.4,0.0,2.0,0.0,284.3,0.0
51,58,Sedgwick,556.0,198.0,202.5,0.6,0.8,8.4,0.0,7.7,1.4,975.4,0.0
52,32,Kit Carson,2146.0,415.8,350.7,0.0,0.0,37.2,0.0,40.3,14.1,3004.1,0.0
53,50,Prowers,3841.6,372.6,548.6,17.8,0.0,60.7,0.0,25.9,43.1,4910.3,0.0
54,48,Phillips,1065.7,277.2,322.0,2.4,0.0,3.8,0.0,26.6,7.7,1705.4,0.0
55,9,Cheyenne,404.0,237.4,104.6,4.5,0.0,20.0,0.0,9.4,0.0,779.9,0.0
56,61,Washington,785.7,693.4,492.7,4.7,0.0,51.9,0.0,24.7,12.6,2065.7,0.0
57,34,Lake,1796.8,457.0,637.6,79.9,6.1,293.3,0.0,59.9,0.0,3330.6000000000004,0.0
58,31,Kiowa,376.4,137.4,71.0,0.4,0.0,14.1,0.0,11.9,2.6,613.8,0.0
59,29,Jackson,146.4,66.6,215.1,0.0,0.0,165.3,0.0,3.8,0.0,597.2,0.0
60,17,Dolores,274.8,313.7,68.4,2.4,0.0,144.4,0.0,15.3,0.0,818.9999999999999,0.0
61,13,Crowley,863.8,217.6,131.9,0.0,0.0,101.3,0.0,0.0,4.4,1319.0,0.0
62,38,Logan,4816.0,1170.0,2138.5,4.6,0.0,101.9,0.0,55.4,4.1,8290.5,0.0
63,63,Yuma,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,4067.1,0.0
