County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
Pitkin,7424,4014,501,2606,0,0,213,6,58,26,8,97,2020,17980,8097,Aspen,"17,148","2,514.09",970.697,6.469,2.498,"2,520.56",973.195,39.217533,-106.915943,57.31089743589740,30.815384615384600,43.6,51.32435897435900,4.647628205128210,33.17884615384620,239.6269230769230,17.103846153846200,7.012820512820510
Rio Grande,4750,1775,927,816,14,0,1097,76,39,6,8,105,2017,11430,8105,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214,52.12564102564100,29.773076923076900,40.18205128205130,51.57371794871800,7.2114102564102600,27.621794871794900,264.59423076923100,16.889743589743600,7.378205128205130
Rio Grande,4504,1720,904,800,12,0,943,78,41,6,8,105,2018,11351,8105,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214,52.12564102564100,29.773076923076900,40.18205128205130,51.57371794871800,7.2114102564102600,27.621794871794900,264.59423076923100,16.889743589743600,7.378205128205130
Rio Grande,4823,1888,879,951,19,0,930,74,75,7,8,105,2019,11305,8105,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214,52.12564102564100,29.773076923076900,40.18205128205130,51.57371794871800,7.2114102564102600,27.621794871794900,264.59423076923100,16.889743589743600,7.378205128205130
Rio Grande,4737,1776,868,1049,21,0,892,57,67,7,8,105,2020,11300,8105,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214,52.12564102564100,29.773076923076900,40.18205128205130,51.57371794871800,7.2114102564102600,27.621794871794900,264.59423076923100,16.889743589743600,7.378205128205130
Cheyenne,776,400,257,83,0,0,18,0,18,0,8,17,2017,2127,8017,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585,67.85384615384620,38.93653846153850,52.74807692307690,52.577564102564100,2.670897435897440,21.518589743589700,205.86602564102600,17.057051282051300,6.967948717948720
Cheyenne,742,396,219,92,5,0,14,0,16,0,8,17,2018,2039,8017,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585,67.85384615384620,38.93653846153850,52.74807692307690,52.577564102564100,2.670897435897440,21.518589743589700,205.86602564102600,17.057051282051300,6.967948717948720
Cheyenne,774,396,253,101,5,0,10,0,9,0,8,17,2019,2026,8017,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585,67.85384615384620,38.93653846153850,52.74807692307690,52.577564102564100,2.670897435897440,21.518589743589700,205.86602564102600,17.057051282051300,6.967948717948720
Cheyenne,804,415,230,119,5,0,31,0,4,0,8,17,2020,1999,8017,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585,67.85384615384620,38.93653846153850,52.74807692307690,52.577564102564100,2.670897435897440,21.518589743589700,205.86602564102600,17.057051282051300,6.967948717948720
Bent,1760,1126,369,155,0,9,88,0,13,0,8,11,2017,5806,8011,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584,71.05064102564100,39.864102564102600,54.68974358974360,50.27628205128210,4.033205128205130,17.592307692307700,241.38589743589700,17.306410256410300,7.211538461538460
Bent,1744,1136,349,146,0,11,90,0,12,0,8,11,2018,5809,8011,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584,71.05064102564100,39.864102564102600,54.68974358974360,50.27628205128210,4.033205128205130,17.592307692307700,241.38589743589700,17.306410256410300,7.211538461538460
