,solarRank,rank1,rank_x,index_x,County,Estimate!!Total!!Utility gas_x,"Estimate!!Total!!Bottled, tank, or LP gas_x",Estimate!!Total!!Electricity_x,"Estimate!!Total!!Fuel oil, kerosene, etc._x",Estimate!!Total!!Coal or coke_x,Estimate!!Total!!Wood_x,Estimate!!Total!!Solar energy_x,Estimate!!Total!!Other fuel_x,Estimate!!Total!!No fuel used_x,summed,Solar Energy Percentage,perCapitaRank,rank_y,index_y,Estimate!!Total,Estimate!!Total!!Utility gas_y,"Estimate!!Total!!Bottled, tank, or LP gas_y",Estimate!!Total!!Electricity_y,"Estimate!!Total!!Fuel oil, kerosene, etc._y",Estimate!!Total!!Coal or coke_y,Estimate!!Total!!Wood_y,Estimate!!Total!!Solar energy_y,Estimate!!Total!!Other fuel_y,Estimate!!Total!!No fuel used_y,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex,Per Capita,totalRank
23,23,23,23,60,Teller,5543.1,1950.3,1304.5,7.8,0.0,1338.1,35.4,78.4,48.1,10305.7,0.34349922858224086,31,31,60,10302.6,5543.1,1950.3,1304.5,7.8,0.0,1338.1,35.4,78.4,48.1,8.0,119.0,2019.0,24346.75,8119.0,4.945,1.909,38.871994,-105.182552,63.2955128205128,38.13205128205129,50.3903846153846,45.0871794871795,6.65076923076923,37.4948717948718,268.969871794872,16.2820512820513,7.14102564102564,10.735040586956618,54
20,20,20,20,23,Garfield,14186.5,1508.1,4452.9,12.8,45.3,888.2,77.3,196.9,49.3,21417.3,0.3609231789254481,33,33,23,21416.9,14186.5,1508.1,4452.9,12.8,45.3,888.2,77.3,196.9,49.3,8.0,45.0,2019.0,58785.75,8045.0,21.431,8.274,39.599352,-107.90978,64.3121794871795,35.7179487179487,49.45769230769231,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949,14.266065955293678,53
12,12,12,12,36,Las Animas,3382.7,1473.0,957.3,5.5,5.5,687.1,36.7,56.0,25.3,6629.1,0.5536196467092064,41,41,36,6629.1,3382.7,1473.0,957.3,5.5,5.5,687.1,36.7,56.0,25.3,8.0,71.0,2019.0,14229.75,8071.0,6.93,2.676,37.318831,-104.04411,69.0339743589744,39.1826923076923,53.3737179487179,45.4442307692308,5.87615384615385,17.800641025641,280.083974358974,18.5096153846154,7.51282051282051,36.652980586200414,53
50,50,50,50,56,San Juan,26.8,147.8,42.0,0.0,10.3,55.4,0.0,2.0,0.0,284.3,0.0,2,2,56,284.2,26.8,147.8,42.0,0.0,10.3,55.4,0.0,2.0,0.0,8.0,111.0,2019.0,587.0,8111.0,2.036,0.786,37.781075,-107.670257,55.36794871794871,35.5147435897436,44.975641025641,45.7858974358974,3.89955128205128,33.8858974358974,263.936538461539,16.1211538461538,7.09615384615385,0.29657099262866987,52
19,19,19,19,12,Costilla,98.6,741.4,198.2,86.6,0.0,440.6,6.3,94.3,0.0,1666.0,0.37815126050420167,30,30,12,1666.0,98.6,741.4,198.2,86.6,0.0,440.6,6.3,94.3,0.0,8.0,23.0,2019.0,3717.5,8023.0,8.829,3.409,37.277547,-105.42894,57.0814102564103,28.6467948717949,42.1198717948718,51.4621794871795,4.16660256410256,22.6512820512821,241.589102564103,16.0532051282051,7.65384615384615,9.381253643358425,49
34,34,34,34,47,Park,2804.7,2064.0,744.9,0.0,3.2,1227.1,18.0,175.7,0.0,7037.599999999999,0.2557690121632375,15,15,47,7036.8,2804.7,2064.0,744.9,0.0,3.2,1227.1,18.0,175.7,0.0,8.0,93.0,2019.0,17626.0,8093.0,43.531,16.807,39.118914,-105.717648,45.9134615384615,28.8602564102564,36.575,49.2692307692308,7.47878205128205,34.4596153846154,216.178205128205,16.8429487179487,7.46153846153846,2.308835954231971,49
8,8,8,8,33,La Plata,10597.1,4994.3,3531.4,21.5,99.1,1931.4,202.1,186.1,63.6,21626.6,0.9344973319893094,39,39,33,21626.6,10597.1,4994.3,3531.4,21.5,99.1,1931.4,202.1,186.1,63.6,8.0,67.0,2019.0,55331.25,8067.0,19.76,7.629,37.287367,-107.839718,64.0166666666667,34.4025641025641,49.0865384615385,49.7955128205128,3.9798717948717903,20.7980769230769,227.535897435897,17.9653846153846,7.62179487179487,21.080980683506688,47
39,39,39,39,52,Rio Blanco,1453.2,259.0,501.1,0.0,2.4,146.0,4.0,40.6,11.5,2417.8,0.16543965588551576,7,7,52,2417.8,1453.2,259.0,501.1,0.0,2.4,146.0,4.0,40.6,11.5,8.0,103.0,2019.0,6443.75,8103.0,4.868,1.88,39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359,0.7680979064824782,46
16,16,16,16,1,Alamosa,2983.0,788.7,1650.8,39.8,2.2,506.3,27.2,124.4,58.2,6180.599999999999,0.4400867229718798,29,29,1,6180.1,2983.0,788.7,1650.8,39.8,2.2,506.3,27.2,124.4,58.2,8.0,3.0,2019.0,16262.25,8003.0,1.808,0.698,37.568442,-105.788041,61.4833333333333,27.6532051282051,44.25705128205129,51.4961538461538,4.16653846153846,19.875,306.921794871795,18.8474358974359,7.46153846153846,9.12722466366958,45
3,3,3,3,10,Clear Creek,2224.8,877.5,738.2,8.4,0.0,441.0,56.8,56.2,32.5,4435.4,1.2806060332777203,40,40,10,4435.1,2224.8,877.5,738.2,8.4,0.0,441.0,56.8,56.2,32.5,8.0,19.0,2019.0,9416.0,8019.0,3.28,1.266,39.689403,-105.670791,37.6115384615385,23.7532051282051,30.2769230769231,54.0532051282051,8.62724358974359,39.7448717948718,274.123076923077,23.6846153846154,7.19871794871795,23.761636666002136,43
21,21,21,21,41,Moffat,3338.9,651.6,841.4,0.0,50.5,241.6,18.5,81.9,24.9,5249.299999999999,0.35242794277332223,16,16,41,5249.3,3338.9,651.6,841.4,0.0,50.5,241.6,18.5,81.9,24.9,8.0,81.0,2019.0,13098.25,8081.0,19.742,7.622,40.573984,-108.204521,59.375,29.5974358974359,44.3224358974359,53.9564102564103,5.50217948717949,26.7596153846154,278.592948717949,18.0608974358974,7.37179487179487,2.3404359867774502,37
9,9,9,9,15,Delta,6106.2,1866.6,2375.0,16.3,112.7,1255.0,93.4,189.6,49.2,12064.0,0.7742042440318303,26,26,15,12064.0,6106.2,1866.6,2375.0,16.3,112.7,1255.0,93.4,189.6,49.2,8.0,29.0,2019.0,30471.5,8029.0,16.961,6.549,38.861756,-107.864757,67.6461538461538,40.2878205128205,53.5025641025641,43.3410256410256,4.46051282051282,19.7224358974359,267.908333333333,17.2602564102564,7.31410256410256,6.6553456372174296,35
6,6,6,6,3,Archuleta,2409.3,1686.5,597.0,0.0,55.2,849.8,58.6,69.4,15.3,5741.1,1.0207103168382365,27,27,3,5741.1,2409.3,1686.5,597.0,0.0,55.2,849.8,58.6,69.4,15.3,8.0,7.0,2019.0,13085.25,8007.0,13.828,5.339,37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154,7.344126214409591,33
32,32,32,32,27,Hinsdale,20.4,171.3,64.2,0.0,1.8,117.1,1.0,2.4,0.0,378.20000000000005,0.2644103648863035,0,0,27,377.7,20.4,171.3,64.2,0.0,1.8,117.1,1.0,2.4,0.0,8.0,53.0,2019.0,834.0,8053.0,15.325,5.917,37.811625,-107.383405,52.5320512820513,33.7647435897436,42.6512820512821,48.5897435897436,7.45173076923077,33.8916666666667,253.814743589744,15.9621794871795,7.17948717948718,0.12603270503360117,32
7,7,7,7,8,Chaffee,3902.5,2024.7,1338.2,22.9,10.8,818.7,81.3,84.1,27.7,8310.9,0.9782334043244414,24,24,8,8310.9,3902.5,2024.7,1338.2,22.9,10.8,818.7,81.3,84.1,27.7,8.0,15.0,2019.0,19379.0,8015.0,4.013,1.55,38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564,5.54170217390061,31
10,10,10,10,26,Gunnison,2998.3,763.1,1868.8,16.6,36.6,901.0,48.8,44.1,15.2,6692.500000000001,0.7291744490100858,18,18,26,6692.5,2998.3,763.1,1868.8,16.6,36.6,901.0,48.8,44.1,15.2,8.0,51.0,2019.0,16668.25,8051.0,53.172,20.53,38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641,2.5188784600435525,28
4,4,4,4,57,San Miguel,1593.5,511.5,1025.0,17.4,0.6,330.1,39.0,1.2,7.8,3526.1,1.106037832165849,21,21,57,3525.5,1593.5,511.5,1025.0,17.4,0.6,330.1,39.0,1.2,7.8,8.0,113.0,2019.0,7982.75,8113.0,5.214,2.013,38.009374,-108.427326,58.6192307692308,37.0608974358974,47.3698717948718,45.0967948717949,4.91455128205128,29.4782051282051,291.105128205128,17.9647435897436,7.50641025641026,4.0331381454966175,25
2,2,2,2,55,Saguache,681.0,930.4,352.3,21.3,13.5,660.8,36.9,43.9,30.7,2770.8,1.3317453443048937,20,20,55,2770.8,681.0,930.4,352.3,21.3,13.5,660.8,36.9,43.9,30.7,8.0,109.0,2019.0,6532.0,8109.0,4.455,1.72,38.033952,-106.246675,59.423717948718,31.6717948717949,44.8467948717949,48.599358974359,2.72435897435897,22.3685897435897,307.796794871795,19.0397435897436,7.84615384615385,3.3001732944641766,22
11,11,11,11,28,Huerfano,1181.4,1043.0,412.9,0.0,4.6,482.8,17.8,20.7,3.2,3166.4,0.5621526023244063,8,8,28,3164.0,1181.4,1043.0,412.9,0.0,4.6,482.8,17.8,20.7,3.2,8.0,55.0,2019.0,6632.25,8055.0,5.792,2.236,37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154,1.0022546858022798,19
13,13,13,13,40,Mineral,27.0,140.6,71.5,0.0,0.0,138.8,2.0,3.7,0.0,383.59999999999997,0.5213764337851929,1,1,40,383.1,27.0,140.6,71.5,0.0,0.0,138.8,2.0,3.7,0.0,8.0,79.0,2019.0,833.5,8079.0,5.222,2.016,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75,0.14893236844456356,14
5,5,5,5,46,Ouray,1004.8,558.0,300.0,0.0,0.0,310.6,24.0,9.0,5.3,2211.7000000000003,1.085138129041009,6,6,46,2211.7,1004.8,558.0,300.0,0.0,0.0,310.6,24.0,9.0,5.3,8.0,91.0,2019.0,4765.25,8091.0,1.6,0.618,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051,0.6242017775390842,11
1,1,1,1,53,Rio Grande,1798.3,884.4,946.5,17.9,0.0,934.1,68.2,61.4,6.7,4717.499999999999,1.4456809750927402,10,10,53,4717.5,1798.3,884.4,946.5,17.9,0.0,934.1,68.2,61.4,6.7,8.0,105.0,2019.0,11346.5,8105.0,0.984,0.38,37.485763,-106.453214,52.125641025641,29.7730769230769,40.1820512820513,51.573717948718,7.211410256410259,27.6217948717949,264.594230769231,16.8897435897436,7.37820512820513,1.3525079178899613,11
