,solarRank,rank1,rank_x,index_x,County,Estimate!!Total!!Utility gas_x,"Estimate!!Total!!Bottled, tank, or LP gas_x",Estimate!!Total!!Electricity_x,"Estimate!!Total!!Fuel oil, kerosene, etc._x",Estimate!!Total!!Coal or coke_x,Estimate!!Total!!Wood_x,Estimate!!Total!!Solar energy_x,Estimate!!Total!!Other fuel_x,Estimate!!Total!!No fuel used_x,summed,Solar Energy Percentage,perCapitaRank,rank_y,index_y,Estimate!!Total,Estimate!!Total!!Utility gas_y,"Estimate!!Total!!Bottled, tank, or LP gas_y",Estimate!!Total!!Electricity_y,"Estimate!!Total!!Fuel oil, kerosene, etc._y",Estimate!!Total!!Coal or coke_y,Estimate!!Total!!Wood_y,Estimate!!Total!!Solar energy_y,Estimate!!Total!!Other fuel_y,Estimate!!Total!!No fuel used_y,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex,Per Capita,totalRank
63,63,63,63,63,Yuma,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,4067.1,0.0,22,22,63,4067.1,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,8.0,125.0,2019.0,10048.5,8125.0,11.135,4.299,40.000631,-102.422649,67.9897435897436,38.5294871794872,52.4070512820513,55.3698717948718,3.25871794871795,23.4769230769231,203.908974358974,16.6916666666667,6.58333333333333,4.430614161562984,85
49,49,49,49,37,Lincoln,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,1512.3000000000002,0.0,35,35,37,1512.3,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,8.0,73.0,2019.0,5565.25,8073.0,22.781,8.796,38.99374,-103.507555,65.0730769230769,33.3403846153846,48.7365384615385,52.3044871794872,4.59410256410256,22.9089743589744,281.045512820513,16.8474358974359,6.93589743589744,14.334967248711457,84
24,24,24,24,44,Morgan,5421.1,1611.9,3450.3,16.8,0.0,223.6,37.2,72.6,9.2,10842.7,0.34308797624207993,60,60,44,10840.5,5421.1,1611.9,3450.3,16.8,0.0,223.6,37.2,72.6,9.2,8.0,87.0,2019.0,28378.5,8087.0,34.474,13.31,40.262354,-103.807092,65.8807692307692,36.3403846153846,50.5346153846154,52.1692307692308,3.4723717948718,22.375641025641,224.694871794872,17.2185897435897,6.94871794871795,,84
45,45,45,45,51,Pueblo,48599.9,2640.4,11142.6,46.2,0.0,1034.7,57.7,687.1,269.3,64477.899999999994,0.08948802612988327,37,37,51,64477.9,48599.9,2640.4,11142.6,46.2,0.0,1034.7,57.7,687.1,269.3,8.0,101.0,2019.0,165361.75,8101.0,30.28,11.691,38.170658,-104.489893,70.2775641025641,38.3942307692308,53.8903846153846,46.825641025641,4.06012820512821,18.099358974359,259.025641025641,16.7814102564103,6.92307692307692,19.711195187162588,82
31,31,31,31,0,Adams,120736.8,2502.9,40389.5,118.1,17.5,413.2,439.5,682.6,672.3,165972.40000000002,0.2648030636419067,49,49,0,165972.4,120736.8,2502.9,40389.5,118.1,17.5,413.2,439.5,682.6,672.3,8.0,1.0,2019.0,499729.25,8001.0,42.07,16.243,39.874325,-104.331872,65.9865384615385,39.743589743589695,52.2166666666667,46.7346153846154,5.12807692307692,51.70833333333329,267.446794871795,15.9692307692308,7.0448717948718,280.47417397697745,80
28,28,28,28,4,Baca,1123.7,358.3,159.3,0.0,0.0,13.2,4.9,18.7,0.8,1678.9,0.2918577640121508,52,52,4,1678.5,1123.7,358.3,159.3,0.0,0.0,13.2,4.9,18.7,0.8,8.0,9.0,2019.0,3568.75,8009.0,6.142,2.372,37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051,,80
33,33,33,33,16,Denver,196794.2,3581.3,85905.6,344.5,13.5,301.6,750.8,2912.9,2546.1,293150.49999999994,0.2561141802589455,46,46,16,293150.5,196794.2,3581.3,85905.6,344.5,13.5,301.6,750.8,2912.9,2546.1,8.0,31.0,2019.0,698334.5,8031.0,4.225,1.631,39.761849,-104.880625,65.8480769230769,39.699358974359,52.000641025641,46.8576923076923,5.12807692307692,51.6294871794872,244.592307692308,14.9833333333333,6.28205128205128,152.52473517527574,79
25,25,25,25,30,Jefferson,171052.6,5117.5,48264.6,176.9,12.4,2198.6,765.2,1351.3,1160.7,230099.80000000002,0.3325513538038712,48,48,30,230099.1,171052.6,5117.5,48264.6,176.9,12.4,2198.6,765.2,1351.3,1160.7,8.0,59.0,2019.0,572012.25,8059.0,25.446,9.825,39.58646,-105.245601,65.175,39.973076923076896,52.1044871794872,45.8301282051282,5.52878205128205,45.324358974359,220.96858974359,13.8705128205128,5.78846153846154,217.93433535261175,73
14,14,14,14,39,Mesa,45636.9,2505.8,9902.7,19.2,38.8,1618.2,316.3,479.5,168.6,60686.00000000001,0.5212075272715287,59,59,39,60685.4,45636.9,2505.8,9902.7,19.2,38.8,1618.2,316.3,479.5,168.6,8.0,77.0,2019.0,150744.0,8077.0,31.467,12.149,39.019492,-108.461837,67.4487179487179,42.4871794871795,54.6083333333333,41.6775641025641,2.69788461538462,18.2589743589744,287.09358974359,18.0179487179487,7.10897435897436,,73
17,17,17,17,24,Gilpin,1333.9,393.6,581.0,46.3,0.0,321.2,12.1,87.4,0.0,2775.5,0.435957485137813,56,56,24,2775.5,1333.9,393.6,581.0,46.3,0.0,321.2,12.1,87.4,0.0,8.0,47.0,2019.0,5960.75,8047.0,0.942,0.364,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718,,73
